headline,place,date,day,words,byline
128 Magistrates Moved in Major Shuffle,,"February 2, 2012",Thursday,260,Oliver Mathenge
"2,500 KDF Soldiers to Join Amisom",,"February 21, 2012",Tuesday,236,Lucas Barasa and Kevin Kelly
29 Ugandans 'Headed for Somalia' Arrested,,"January 15, 2012",Sunday,236,Patrick Mayoyo and Agencies
"A Portrait of a Jihadist Born and Bred in NairobiOn January 10 this year, the radical Pumwani Islamist Muslim Youth Centre (MYC) reported its blog www.mycnjiawaukweli.blogspot.com that Al-Shabaab had raised Sheikh Iman's status to ""Supreme Amir.""",,"January 30, 2012",Monday,1442,Nyambega Gisesa
Ahmednasir Displayed Nothing but Ignorance of Professional Policing [opinion],opinion,"January 7, 2012",Saturday,655,Eric Kiraithe
Aid Agencies Review Security At Dadaab Following Wave of Murders,,"January 3, 2012",Tuesday,887,Xinhua
Al-Shabaab - the Slippery Militia That Kenya Has Had to Deal With [opinion],opinion,"January 1, 2012",Sunday,1055,John Ngirachu
Al-Shabaab and State Tell of Terror Against Them,,"January 1, 2012",Sunday,592,Abdulkadir Khalif
Al-Shabaab Propaganda Video Declares Jihad Against Country,,"January 9, 2012",Monday,330,Patrick Mayoyo
Anti-Soviet Fighters Gave Rise to Militia,,"January 8, 2012",Sunday,175,
Baraza Is About to Have an Encounter With History but Does She Deserve It? [opinion],opinion,"January 30, 2012",Monday,677,Mugambi Nandi
Baraza Saga Could Be the Defining Moment in Changes Citizens Seek [opinion],opinion,"January 13, 2012",Friday,713,Maina Kiai
"BLOG: Wrong timing as pomp marks opening of new House chamberByline: ALPHONCE SHIUNDU , ashiundu@ke.nationmedia.com,  -1",,"August 7, 2012",Tuesday,691,"ALPHONCE SHIUNDU , ,  -1"
Business Counts the Losses in War On Terror,,"January 26, 2012",Thursday,976,Hassan Huka and Paul Letiwa
Charles Taylor Doubled As a U.S. Spy?,,"January 27, 2012",Friday,888,Kamau Mutunga
Chase Them to Their Dens [editorial],editorial,"January 9, 2012",Monday,188,
Country Demands Release of Terror War Captives,,"January 22, 2012",Sunday,337,Lucas Barasa and Francis Mureithi
Country Deports Jamaican Over Terrorism Links,,"February 23, 2012",Thursday,398,
Country Seeks Help to Tackle Insecurity in Refugee Camps,,"January 26, 2012",Thursday,277,Zadock Angira
Country Seeks Release of Hostages By Militia,,"January 19, 2012",Thursday,803,Peter Leftie and Lucas Barasa
Country War On Terror Claims Officer,,"January 31, 2012",Tuesday,526,Angira Zadock
Country Working Towards Conditions Needed for Direct Flights to U.S.,,"January 26, 2012",Thursday,267,
Crisis Over Polls Date Is Much Ado About Nothing [opinion],opinion,"January 14, 2012",Saturday,680,Eric Ng'eno
Doctors On Terror Charges Oppose DPP's Bid to Set Them Free,,"January 17, 2012",Tuesday,380,Richard Munguti
EAC Registers 5 Percent Growth,,"February 2, 2012",Thursday,1196,Lucas Barasa
Eastleigh Traders Feel the Heat of KDF Somali Incursion,,"January 20, 2012",Friday,788,Bertha Kang'ong'oi
Envoy - Military to Benefit From U.S. Aid,,"February 21, 2012",Tuesday,714,Lucas Barasa
Five Killed in New Year Party Grenade Attack,,"January 1, 2012",Sunday,493,
"Forget relegation, there are things that count more",,"March 26, 2012",Monday,941,GUY MAUGHFLING -1
Fresh Demands On Somalia War,,"January 15, 2012",Sunday,416,Fred Oluoch and Mwaura Kimani
Fury As Wanted British Terror Suspect Eludes Police,,"January 29, 2012",Sunday,471,Anthony Kitimo
GAITHO: Legalising prostitution in politics a fatal mistakemgaitho@ke.nationmedia.com,,"December 10, 2012",Monday,697,MACHARIA GAITHO -1
GAITHO: Why are police being killed like chicken?mgaitho@ke.nationmedia.com,,"November 12, 2012",Monday,673,MACHARIA GAITHO -1
